speech_id,line_id,sentence_id,sentence_text,valence,arousal,dominance
S001,0,0,"And it is a moment we’re born out of our love of our country, born out of, for me, having taken the oath of office to the Constitution, United States, at least six times.",0.698125,0.43425,0.5938749999999999
S001,0,1,I believe what is at stake in this election is so fundamental for us as Americans.,0.63,0.47974999999999995,0.674
S001,0,2,And it is about do we take seriously the importance of a president who obeys the oath to be loyal to the Constitution of the United States?,0.7116666666666666,0.4686666666666667,0.7142222222222223
S001,0,3,"Do we prioritize a President of the United States who cares about rule of law, much less the spirit with which they approach this most powerful position?",0.6548888888888889,0.4948888888888889,0.6673333333333332
S001,1,0,There’s so much about this last era.,,,
S001,1,1,"When I talk about turn the page, that’s what I’m referring to.",0.6819999999999999,0.372,0.538
S001,1,2,"The last decade, that has been about some powerful forces suggesting that the measure of the strength of a leader is based on who you beat down instead of what I think most of us believe, regardless of your party affiliation, that the real measure of the strength of a leader is based on who you lift up.",0.6678571428571429,0.5747857142857143,0.6763571428571428
S001,2,0,"And so for that reason, I’m not surprised that Liz Cheney and I are on the same stage 15 days before the election.",0.688,0.5805,0.506
S001,3,0,"As vice president of the United States, my priorities have been many, including, to your point, the work that you and I have done over the years focusing on women’s health.",0.6628571428571429,0.505,0.6685714285714285
S001,3,1,One of my priorities has been maternal mortality.,0.6945,0.3545,0.502
S001,3,2,"But I have only had one client in my career, the people.",0.6273333333333333,0.377,0.527
S001,3,3,And my belief is that there is great nobility in public service if one understands that they hold the office in the public trust.,0.6647777777777777,0.411,0.5897777777777777
S001,3,4,It is not about personal power.,0.75,0.311,0.467
S001,3,5,It is about what you can do that lifts up the condition of people.,0.6106666666666667,0.459,0.503
S001,3,6,"And there is so much about how I think about my responsibility, and I’m here to ask for your vote, is that I intend to be a president for all Americans, understanding that the vast majority of us have so much more in common than what separates us.",0.6652,0.4145,0.6197999999999999
S001,4,0,"And this era that was initiated by Donald Trump has not only been exhausting, it has been harmful to us as a nation.",0.52725,0.59075,0.572
S001,4,1,The notion that a president of the United States would encourage Americans to point fingers at each other?,0.6581666666666667,0.4203333333333333,0.6641666666666667
S001,4,2,"That there would be a suggestion that we are a divided country, instead of knowing we have so much more in common than what separates us?",0.6100000000000001,0.3584285714285714,0.4998571428571429
S001,4,3,"I have, as vice president, met over a hundred and fifty world leaders, presidents, prime ministers, chancellors, and kings.",0.5602,0.437,0.5042000000000001
S001,4,4,"My most recent overseas trips as vice president, which were relatively close to then the election, our allies have expressed real concern.",0.5311999999999999,0.46040000000000003,0.5284
S001,5,0,Our children are now learning how to keep themselves safe if there’s an active shooter at their school.,0.7288333333333333,0.5453333333333333,0.6366666666666666
S001,5,1,"I did a tour last year of colleges with college-aged kids, so I also did some trade schools, and I would ask at the room, the auditorium would be packed, college-aged kids, and I’d ask them, “Raise your hand if at any point between kindergarten and 12th grade, you had to endure an active shooter drill.” Almost every hand went up.",0.5506875,0.45275,0.512375
S001,5,2,"Our kids are growing up where they are learning that they may be unsafe in the classroom, where they should be absorbing the wonders of the world.",0.617,0.41328571428571437,0.43842857142857133
